# Program:featureCounts v2.0.6; Command:"featureCounts" "-p" "--countReadPairs" "-T" "4" "-t" "gene" "-g" "gene" "-a" "/data/behringer_lab/Ref_Genome/E_coli/E_coli.gtf" "-o" "SRA_FimA_Counts.txt" "Sample_SRR8335000.sorted.bam" "Sample_SRR8335002.sorted.bam" "Sample_SRR8335003.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	Sample_SRR8335000.sorted.bam	Sample_SRR8335002.sorted.bam	Sample_SRR8335003.sorted.bam
yegP	NC_000913.3	2165189	2165521	+	333	4701	4251	492
trhP	NC_000913.3	2165668	2167029	+	1362	1795	1651	4089
cyaR	NC_000913.3	2167114	2167200	+	87	38	35	40
ogrK	NC_000913.3	2167302	2167520	-	219	175	223	68
yegZ	NC_000913.3	2167602	2167820	-	219	143	141	34
yegR	NC_000913.3	2167989	2168306	-	318	157	181	22
yegS	NC_000913.3	2168712	2169611	+	900	1793	1477	246
gatR	NC_000913.3	2169693	2171727	-	2035	509	314	169
insE5	NC_000913.3	2170236	2170535	+	300	0	0	0
insF5	NC_000913.3	2170532	2171398	+	867	0	0	0
gatD	NC_000913.3	2171833	2172873	-	1041	2171	1784	89
gatC	NC_000913.3	2172921	2174278	-	1358	6880	5769	118
gatB	NC_000913.3	2174282	2174566	-	285	1626	1205	12
gatA	NC_000913.3	2174597	2175049	-	453	4745	4191	49
gatZ	NC_000913.3	2175059	2176321	-	1263	27678	34772	385
gatY	NC_000913.3	2176350	2177204	-	855	40885	50246	446
fbaB	NC_000913.3	2177512	2178564	-	1053	8698	9766	3034
yegT	NC_000913.3	2178821	2180098	+	1278	1027	587	61
yegU	NC_000913.3	2180095	2181099	+	1005	796	470	115
yegV	NC_000913.3	2181096	2182061	+	966	618	343	99
yegW	NC_000913.3	2182035	2182781	-	747	721	397	135
yegX	NC_000913.3	2182833	2183651	-	819	684	361	122
thiD	NC_000913.3	2183716	2184516	-	801	510	264	122
thiM	NC_000913.3	2184513	2185301	-	789	412	235	103
rcnR	NC_000913.3	2185524	2185796	-	273	402	219	73
rcnA	NC_000913.3	2185917	2186741	+	825	453	251	76
rcnB	NC_000913.3	2186960	2187298	+	339	190	141	40
yehA	NC_000913.3	2187380	2188414	-	1035	290	180	31
yehB	NC_000913.3	2188430	2190910	-	2481	1089	607	70
yehC	NC_000913.3	2190926	2191645	-	720	179	124	6
yehD	NC_000913.3	2191680	2192222	-	543	95	77	7
yehE	NC_000913.3	2192515	2192796	-	282	463	342	96
mrp	NC_000913.3	2193059	2194168	-	1110	1262	1052	485
metG	NC_000913.3	2194300	2196333	+	2034	1705	1304	1573
yehF	NC_000913.3	2196474	2197298	+	825	599	292	46
yehH	NC_000913.3	2197410	2200269	+	2860	1704	931	186
yehI	NC_000913.3	2200279	2203911	+	3633	2560	1309	289
yehK	NC_000913.3	2203972	2204289	+	318	94	82	9
yehL	NC_000913.3	2204596	2205684	+	1089	792	422	53
yehM	NC_000913.3	2205695	2207974	+	2280	1556	771	179
yehP	NC_000913.3	2207967	2209103	+	1137	813	406	62
yehQ	NC_000913.3	2209100	2210944	+	1845	1439	718	195
yehR	NC_000913.3	2211225	2211686	+	462	317	196	89
yehS	NC_000913.3	2211726	2212196	-	471	357	333	224
btsR	NC_000913.3	2212243	2212962	-	720	598	314	92
btsS	NC_000913.3	2212959	2214644	-	1686	1002	533	102
mlrA	NC_000913.3	2214866	2215597	+	732	1150	788	279
yohO	NC_000913.3	2215657	2215764	+	108	37	43	19
yehW	NC_000913.3	2215745	2216476	-	732	627	481	127
yehX	NC_000913.3	2216481	2217407	-	927	664	512	90
yehY	NC_000913.3	2217400	2218557	-	1158	1319	1319	224
osmF	NC_000913.3	2218564	2219481	-	918	3375	5050	303
bglX	NC_000913.3	2219692	2221989	-	2298	1729	1167	492
dld	NC_000913.3	2222185	2223900	+	1716	1554	1215	1212
pbpG	NC_000913.3	2223938	2224870	-	933	497	355	489
yohC	NC_000913.3	2225044	2225631	-	588	9112	11748	938
yohD	NC_000913.3	2225801	2226379	+	579	769	726	234
yohF	NC_000913.3	2226509	2227270	-	762	1549	1696	283
mdtQ	NC_000913.3	2227323	2228758	-	1436	831	396	69
yohP	NC_000913.3	2228982	2229065	+	84	5389	6853	1300
dusC	NC_000913.3	2229438	2230385	-	948	942	550	124
yohJ	NC_000913.3	2230624	2231022	+	399	372	267	300
yohK	NC_000913.3	2231019	2231714	+	696	445	404	568
cdd	NC_000913.3	2231844	2232728	+	885	1626	2011	324
sanA	NC_000913.3	2232878	2233597	+	720	321	205	25
yeiS	NC_000913.3	2233600	2233839	+	240	266	177	41
preT	NC_000913.3	2234033	2235271	+	1239	970	753	73
preA	NC_000913.3	2235265	2236500	+	1236	1228	906	65
mglC	NC_000913.3	2236743	2237753	-	1011	954	770	26
mglA	NC_000913.3	2237769	2239289	-	1521	1417	1228	34
mglB	NC_000913.3	2239350	2240348	-	999	4609	3414	56
galS	NC_000913.3	2240628	2241668	-	1041	957	826	59
yeiB	NC_000913.3	2241810	2242967	-	1158	818	375	149
folE	NC_000913.3	2242984	2243652	-	669	587	377	685
yeiG	NC_000913.3	2243910	2244746	+	837	855	550	686
cirA	NC_000913.3	2244778	2246769	-	1992	1805	1082	1204
lysP	NC_000913.3	2247063	2248532	-	1470	1772	1221	813
yeiE	NC_000913.3	2248737	2249618	-	882	1307	972	203
yeiH	NC_000913.3	2249717	2250766	+	1050	892	533	217
nfo	NC_000913.3	2250840	2251697	+	858	1188	1765	336
yeiI	NC_000913.3	2251700	2252788	+	1089	1102	747	274
nupX	NC_000913.3	2252895	2254145	-	1251	1000	469	56
rihB	NC_000913.3	2254245	2255186	-	942	512	220	23
yeiL	NC_000913.3	2255355	2256014	+	660	305	179	27
psuT	NC_000913.3	2256085	2257335	-	1251	761	411	146
psuG	NC_000913.3	2257429	2258367	-	939	603	298	39
psuK	NC_000913.3	2258355	2259296	-	942	464	237	20
fruA	NC_000913.3	2259719	2261410	-	1692	3127	3654	631
fruK	NC_000913.3	2261427	2262365	-	939	1532	1293	166
fruB	NC_000913.3	2262365	2263495	-	1131	1064	875	140
setB	NC_000913.3	2263863	2265044	+	1182	866	435	46
yeiW	NC_000913.3	2265041	2265295	-	255	148	99	13
yeiP	NC_000913.3	2265450	2266022	+	573	417	266	64
yeiQ	NC_000913.3	2266245	2267711	+	1467	1430	689	87
yeiR	NC_000913.3	2267829	2268815	+	987	734	390	77
lpxT	NC_000913.3	2268854	2269567	+	714	293	191	28
mepS	NC_000913.3	2269979	2270545	+	567	266	156	128
pdeN	NC_000913.3	2270726	2272282	+	1557	1126	698	163
yejA	NC_000913.3	2272364	2274178	+	1815	1476	1008	362
yejB	NC_000913.3	2274179	2275273	+	1095	726	363	120
yejE	NC_000913.3	2275273	2276298	+	1026	725	425	171
yejF	NC_000913.3	2276300	2277889	+	1590	1002	622	1079
yejG	NC_000913.3	2277893	2278237	-	345	2580	2917	274
bcr	NC_000913.3	2278570	2279760	-	1191	1121	840	1456
rsuA	NC_000913.3	2279788	2280483	-	696	825	714	886
radD	NC_000913.3	2280632	2282392	+	1761	1152	602	227
rplY	NC_000913.3	2282517	2282801	+	285	402	392	2431
yejK	NC_000913.3	2282940	2283947	-	1008	839	503	338
yejL	NC_000913.3	2284129	2284356	+	228	497	499	299
lapC	NC_000913.3	2284376	2286136	+	1761	1691	1346	701
proL	NC_000913.3	2286211	2286287	+	77	69	29	14
yejO	NC_000913.3	2286390	2290180	-	3791	1941	1153	519
insH8	NC_000913.3	2289065	2290045	-	981	0	0	0
narP	NC_000913.3	2290500	2291147	+	648	434	394	217
ccmH	NC_000913.3	2291358	2292410	-	1053	755	420	115
ccmG	NC_000913.3	2292407	2292964	-	558	416	263	34
ccmF	NC_000913.3	2292961	2294904	-	1944	1341	719	157
ccmE	NC_000913.3	2294901	2295380	-	480	464	251	73
ccmD	NC_000913.3	2295377	2295586	-	210	181	121	45
ccmC	NC_000913.3	2295583	2296320	-	738	550	310	68
ccmB	NC_000913.3	2296362	2297024	-	663	346	184	38
ccmA	NC_000913.3	2297021	2297644	-	624	594	357	63
napC	NC_000913.3	2297657	2298259	-	603	260	164	58
napB	NC_000913.3	2298269	2298718	-	450	218	116	21
napH	NC_000913.3	2298715	2299578	-	864	671	398	34
napG	NC_000913.3	2299565	2300260	-	696	379	219	69
napA	NC_000913.3	2300267	2302753	-	2487	1499	858	142
napD	NC_000913.3	2302750	2303013	-	264	60	32	4
napF	NC_000913.3	2303003	2303497	-	495	311	195	26
yojO	NC_000913.3	2303606	2303770	+	165	36	18	8
eco	NC_000913.3	2303905	2304393	+	489	654	486	307
mqo	NC_000913.3	2305108	2306754	-	1647	1091	721	1563
yojI	NC_000913.3	2306972	2308615	-	1644	1077	545	451
alkB	NC_000913.3	2308691	2309341	-	651	591	401	239
ada	NC_000913.3	2309341	2310405	-	1065	1027	779	830
ftp	NC_000913.3	2310479	2311534	-	1056	916	429	388
ompC	NC_000913.3	2311646	2312749	-	1104	5232	4705	4367
micF	NC_000913.3	2313084	2313176	+	93	74	51	24
rcsD	NC_000913.3	2313488	2316160	+	2673	2941	2026	985
rcsB	NC_000913.3	2316177	2316827	+	651	2151	1831	957
rcsC	NC_000913.3	2317027	2319876	-	2850	1991	1261	850
atoS	NC_000913.3	2320043	2321869	+	1827	1272	841	180
atoC	NC_000913.3	2321866	2323251	+	1386	1015	583	93
atoD	NC_000913.3	2323447	2324109	+	663	454	231	39
atoA	NC_000913.3	2324109	2324759	+	651	309	153	20
atoE	NC_000913.3	2324756	2326078	+	1323	884	506	64
atoB	NC_000913.3	2326109	2327293	+	1185	832	414	57
yfaP	NC_000913.3	2327367	2328143	-	777	698	327	89
yfaQ	NC_000913.3	2328148	2329797	-	1650	1167	593	123
yfaS	NC_000913.3	2329798	2334402	-	4605	2793	1346	351
yfaT	NC_000913.3	2334336	2334959	-	624	419	219	39
yfaA	NC_000913.3	2334956	2336644	-	1689	976	500	101
gyrA	NC_000913.3	2336793	2339420	-	2628	5268	4432	4746
ubiG	NC_000913.3	2339567	2340289	+	723	859	637	420
yfaL	NC_000913.3	2340417	2344169	-	3753	2466	1522	510
ypaB	NC_000913.3	2344594	2344737	-	144	51	36	5
nrdA	NC_000913.3	2344865	2347150	+	2286	1540	1036	202
yoaM	NC_000913.3	2347350	2347385	-	36	17	14	7
nrdB	NC_000913.3	2347384	2348514	+	1131	997	737	309
yfaE	NC_000913.3	2348514	2348768	+	255	112	67	43
inaA	NC_000913.3	2348822	2349472	-	651	571	524	145
yfaH	NC_000913.3	2349687	2349893	+	207	66	26	38
glpQ	NC_000913.3	2349935	2351011	-	1077	1256	1067	348
glpT	NC_000913.3	2351016	2352374	-	1359	892	533	88
glpA	NC_000913.3	2352647	2354275	+	1629	934	432	72
glpB	NC_000913.3	2354265	2355524	+	1260	851	406	52
glpC	NC_000913.3	2355521	2356711	+	1191	765	415	93
rpnE	NC_000913.3	2356904	2357803	+	900	529	259	59
ypaA	NC_000913.3	2357816	2358001	+	186	177	128	19
yfaU	NC_000913.3	2358042	2358845	-	804	550	292	51
yfaV	NC_000913.3	2358863	2360152	-	1290	905	393	59
rhmD	NC_000913.3	2360209	2361414	-	1206	902	574	36
yfaX	NC_000913.3	2361429	2362211	-	783	541	329	41
yfaY	NC_000913.3	2362431	2363633	-	1203	1402	1008	504
yfaZ	NC_000913.3	2363733	2364275	-	543	464	290	85
nudI	NC_000913.3	2364554	2364979	+	426	211	146	19
ais	NC_000913.3	2365018	2365620	-	603	258	138	27
arnB	NC_000913.3	2365910	2367067	+	1158	2303	2439	405
arnC	NC_000913.3	2367071	2368039	+	969	1398	1071	251
arnA	NC_000913.3	2368039	2370021	+	1983	1932	1713	859
arnD	NC_000913.3	2370018	2370908	+	891	652	453	276
arnT	NC_000913.3	2370908	2372560	+	1653	1036	546	331
arnE	NC_000913.3	2372557	2372892	+	336	246	168	120
arnF	NC_000913.3	2372892	2373278	+	387	449	317	81
pmrD	NC_000913.3	2373272	2373538	-	267	224	249	35
menE	NC_000913.3	2373648	2375003	-	1356	1096	650	304
menC	NC_000913.3	2375000	2375962	-	963	877	841	327
menB	NC_000913.3	2375962	2376819	-	858	671	710	341
menH	NC_000913.3	2376834	2377592	-	759	506	272	34
menD	NC_000913.3	2377589	2379259	-	1671	1433	906	408
menF	NC_000913.3	2379348	2380643	-	1296	1017	667	678
elaB	NC_000913.3	2380722	2381027	-	306	8707	8886	1341
elaA	NC_000913.3	2381082	2381543	-	462	603	460	109
rbn	NC_000913.3	2381608	2382525	+	918	709	436	100
elaD	NC_000913.3	2382713	2383924	+	1212	235	199	45
yfbK	NC_000913.3	2383995	2385722	-	1728	955	489	149
yfbL	NC_000913.3	2385860	2386831	+	972	405	267	33
yfbM	NC_000913.3	2386934	2387437	+	504	222	109	23
yfbN	NC_000913.3	2387710	2388426	-	717	209	107	34
yfbO	NC_000913.3	2388635	2389057	+	423	73	53	11
yfbP	NC_000913.3	2389116	2389964	+	849	362	279	54
nuoN	NC_000913.3	2390048	2391505	-	1458	1800	1613	742
nuoM	NC_000913.3	2391512	2393041	-	1530	1407	1084	241
nuoL	NC_000913.3	2393205	2395046	-	1842	1994	1710	507
nuoK	NC_000913.3	2395043	2395345	-	303	407	301	92
nuoJ	NC_000913.3	2395342	2395896	-	555	820	759	166
nuoI	NC_000913.3	2395908	2396450	-	543	522	608	109
nuoH	NC_000913.3	2396465	2397442	-	978	1358	1347	291
nuoG	NC_000913.3	2397439	2400165	-	2727	3704	4302	1353
nuoF	NC_000913.3	2400218	2401555	-	1338	2516	2945	889
nuoE	NC_000913.3	2401552	2402052	-	501	1090	1118	416
nuoC	NC_000913.3	2402055	2403845	-	1791	4997	4989	1501
nuoB	NC_000913.3	2403951	2404613	-	663	3384	3045	987
nuoA	NC_000913.3	2404629	2405072	-	444	3952	3525	664
lrhA	NC_000913.3	2405703	2406641	-	939	2422	2228	613
alaA	NC_000913.3	2407561	2408778	+	1218	1091	754	876
yfbR	NC_000913.3	2408862	2409461	+	600	488	311	121
yfbS	NC_000913.3	2409520	2411352	-	1833	1256	803	218
hxpA	NC_000913.3	2411439	2412089	-	651	1004	774	356
yfbU	NC_000913.3	2412100	2412594	-	495	685	544	207
yfbV	NC_000913.3	2412677	2413132	-	456	4422	4516	1410
ackA	NC_000913.3	2413470	2414672	+	1203	10747	16566	1000
pta	NC_000913.3	2414747	2416891	+	2145	6708	10887	1313
yfcC	NC_000913.3	2417081	2418601	+	1521	799	407	156
yfcD	NC_000913.3	2418634	2419176	-	543	904	526	261
yfcE	NC_000913.3	2419234	2419788	-	555	746	464	292
yfcF	NC_000913.3	2419841	2420485	-	645	710	570	148
yfcG	NC_000913.3	2420621	2421268	+	648	817	1060	188
folX	NC_000913.3	2421325	2421687	+	363	613	700	189
yfcH	NC_000913.3	2421708	2422601	+	894	3720	4811	680
rpnB	NC_000913.3	2422649	2423539	-	891	693	495	111
hisP	NC_000913.3	2423736	2424509	-	774	1032	1034	272
hisM	NC_000913.3	2424517	2425233	-	717	993	1101	230
hisQ	NC_000913.3	2425230	2425916	-	687	1660	1761	378
hisJ	NC_000913.3	2426006	2426788	-	783	5453	6447	757
argT	NC_000913.3	2427009	2427791	-	783	13634	19915	160
ubiX	NC_000913.3	2428057	2428626	-	570	430	230	53
purF	NC_000913.3	2428721	2430238	-	1518	1506	1378	359
cvpA	NC_000913.3	2430275	2430763	-	489	543	622	144
dedD	NC_000913.3	2431022	2431684	-	663	1368	1776	393
folC	NC_000913.3	2431674	2432942	-	1269	1057	1070	379
accD	NC_000913.3	2433012	2433926	-	915	1275	1169	1233
dedA	NC_000913.3	2434082	2434741	-	660	496	294	411
truA	NC_000913.3	2434824	2435636	-	813	621	370	492
usg	NC_000913.3	2435636	2436649	-	1014	697	541	387
pdxB	NC_000913.3	2436715	2437851	-	1137	1212	995	666
flk	NC_000913.3	2437950	2438945	+	996	995	594	113
yfcJ	NC_000913.3	2438942	2440120	-	1179	813	392	144
fabB	NC_000913.3	2440385	2441605	-	1221	2725	2114	864
mnmC	NC_000913.3	2441764	2443770	+	2007	1370	615	544
yfcL	NC_000913.3	2443891	2444169	-	279	227	145	99
epmC	NC_000913.3	2444203	2444751	-	549	546	322	244
yfcA	NC_000913.3	2444751	2445560	-	810	765	471	243
mepA	NC_000913.3	2445560	2446384	-	825	574	373	260
aroC	NC_000913.3	2446388	2447473	-	1086	1349	893	506
prmB	NC_000913.3	2447508	2448440	-	933	758	444	184
smrB	NC_000913.3	2448606	2449157	+	552	731	572	359
yfcO	NC_000913.3	2449228	2450049	-	822	1003	854	413
yfcP	NC_000913.3	2450051	2450590	-	540	483	241	32
yfcQ	NC_000913.3	2450587	2451075	-	489	156	81	26
yfcR	NC_000913.3	2451072	2451584	-	513	349	181	26
yfcS	NC_000913.3	2451584	2452336	-	753	454	175	23
yfcU	NC_000913.3	2452356	2455001	-	2646	1882	1142	310
yfcV	NC_000913.3	2455083	2455646	-	564	177	176	10
sixA	NC_000913.3	2456327	2456812	-	486	14847	11550	720
fadJ	NC_000913.3	2457015	2459159	-	2145	8783	16066	213
fadI	NC_000913.3	2459159	2460469	-	1311	5807	9538	132
yfcZ	NC_000913.3	2460650	2460934	-	285	734	697	833
fadL	NC_000913.3	2461306	2462646	+	1341	12985	17875	128
yfdF	NC_000913.3	2463012	2464070	+	1059	125	146	14
mlaA	NC_000913.3	2464252	2465007	-	756	1512	1164	294
yfdC	NC_000913.3	2465301	2466233	+	933	1021	776	156
argW	NC_000913.3	2466309	2466383	+	75	63	37	6
intS	NC_000913.3	2466545	2467702	+	1158	406	175	72
yfdG	NC_000913.3	2467855	2468217	+	363	69	74	71
yfdH	NC_000913.3	2468214	2469134	+	921	290	165	97
yfdI	NC_000913.3	2469131	2470462	+	1332	134	78	25
yodE	NC_000913.3	2470497	2470643	-	147	15	21	8
tfaS	NC_000913.3	2470803	2471105	+	303	323	374	114
yfdK	NC_000913.3	2471077	2471517	-	441	167	89	25
yfdL	NC_000913.3	2471544	2472062	-	519	259	131	17
yfdM	NC_000913.3	2472112	2472387	-	276	301	182	15
yfdN	NC_000913.3	2472387	2472881	-	495	242	113	13
yfdO	NC_000913.3	2472878	2473246	-	369	234	108	12
yfdP	NC_000913.3	2473604	2473966	+	363	344	187	16
yfdQ	NC_000913.3	2474032	2474856	+	825	189	101	21
yfdR	NC_000913.3	2474984	2475520	+	537	163	100	13
yfdS	NC_000913.3	2475511	2475873	+	363	170	69	8
yfdT	NC_000913.3	2475873	2476178	+	306	64	38	13
ypdJ	NC_000913.3	2476094	2476234	+	141	11	11	1
torI	NC_000913.3	2476310	2476510	+	201	131	56	19
pawZ	NC_000913.3	2476584	2476598	+	15	44	31	8
dsdC	NC_000913.3	2476694	2477629	-	936	597	315	83
dsdX	NC_000913.3	2477847	2479184	+	1338	824	457	68
dsdA	NC_000913.3	2479202	2480530	+	1329	978	522	137
emrY	NC_000913.3	2480638	2482176	-	1539	376	245	104
emrK	NC_000913.3	2482176	2483339	-	1164	487	346	113
evgL	NC_000913.3	2483729	2483758	+	30	2	6	5
evgA	NC_000913.3	2483755	2484369	+	615	625	952	669
evgS	NC_000913.3	2484374	2487967	+	3594	1355	1348	997
yfdE	NC_000913.3	2488023	2489168	-	1146	633	460	122
yfdV	NC_000913.3	2489242	2490186	-	945	399	297	45
oxc	NC_000913.3	2490256	2491950	-	1695	679	525	61
frc	NC_000913.3	2492004	2493254	-	1251	594	398	35
yfdX	NC_000913.3	2493767	2494402	-	636	305	228	29
ypdI	NC_000913.3	2494698	2494973	+	276	230	164	46
yfdY	NC_000913.3	2495050	2495292	-	243	392	477	282
lpxP	NC_000913.3	2495645	2496565	+	921	906	978	680
ypdK	NC_000913.3	2496921	2496992	+	72	60	29	22
alaC	NC_000913.3	2497057	2498295	-	1239	1152	680	243
pyrS	NC_000913.3	2498671	2500368	+	1698	1154	845	311
pyrR	NC_000913.3	2500383	2501117	+	735	783	606	239
ypdC	NC_000913.3	2501130	2501987	+	858	645	501	215
fryA	NC_000913.3	2501990	2504485	-	2496	1486	740	175
ypdE	NC_000913.3	2504510	2505547	-	1038	624	299	84
ypdF	NC_000913.3	2505547	2506632	-	1086	492	211	41
fryC	NC_000913.3	2506647	2507894	-	1248	756	342	45
fryB	NC_000913.3	2507916	2508242	-	327	185	97	12
glk	NC_000913.3	2508461	2509426	-	966	1439	1138	304
yfeO	NC_000913.3	2509630	2510886	+	1257	1287	930	294
ypeC	NC_000913.3	2511001	2511327	+	327	275	172	183
mntH	NC_000913.3	2511468	2512706	-	1239	1013	874	575
ypeD	NC_000913.3	2512687	2512776	-	90	56	55	5
nupC	NC_000913.3	2513042	2514244	+	1203	899	764	142
insL3	NC_000913.3	2514331	2515443	+	1113	1528	1311	509
pdeA	NC_000913.3	2515643	2517832	-	2190	1265	708	300
alaX	NC_000913.3	2518041	2518116	-	76	59	29	5
alaW	NC_000913.3	2518156	2518231	-	76	29	22	7
yfeC	NC_000913.3	2518467	2518811	+	345	294	174	60
yfeD	NC_000913.3	2518813	2519205	+	393	418	280	100
gltX	NC_000913.3	2519257	2520672	-	1416	2414	2329	1872
valU	NC_000913.3	2520931	2521006	+	76	40	23	14
valX	NC_000913.3	2521051	2521126	+	76	61	36	112
valY	NC_000913.3	2521173	2521248	+	76	12	15	3
lysV	NC_000913.3	2521253	2521328	+	76	87	36	8
xapR	NC_000913.3	2521593	2522477	-	885	909	551	120
xapB	NC_000913.3	2522729	2523985	-	1257	598	350	137
xapA	NC_000913.3	2524045	2524878	-	834	414	248	30
yfeN	NC_000913.3	2525127	2525891	+	765	518	349	53
yfeR	NC_000913.3	2525930	2526856	-	927	578	313	211
yfeH	NC_000913.3	2526946	2527944	+	999	1071	598	242
ypeB	NC_000913.3	2527941	2528159	-	219	438	541	135
ligA	NC_000913.3	2528161	2530176	-	2016	5019	5606	673
zipA	NC_000913.3	2530247	2531233	-	987	2382	2654	1149
cysZ	NC_000913.3	2531463	2532224	+	762	888	640	137
cysK	NC_000913.3	2532409	2533380	+	972	6944	13243	43999
ptsH	NC_000913.3	2533764	2534021	+	258	4506	4516	3209
ptsI	NC_000913.3	2534066	2535793	+	1728	20031	21154	7330
crr	NC_000913.3	2535834	2536343	+	510	23280	20836	2783
pdxK	NC_000913.3	2536386	2537237	-	852	439	289	107
yfeK	NC_000913.3	2537342	2537716	+	375	126	227	35
yfeS	NC_000913.3	2537749	2538483	+	735	348	297	441
cysM	NC_000913.3	2538672	2539583	-	912	917	906	1862
cysA	NC_000913.3	2539717	2540814	-	1098	1309	2201	6146
cysW	NC_000913.3	2540804	2541679	-	876	894	1302	2685
cysU	NC_000913.3	2541679	2542512	-	834	860	1066	1875
cysP	NC_000913.3	2542512	2543528	-	1017	1273	2040	2905
ucpA	NC_000913.3	2543832	2544623	-	792	3169	3799	247
murR	NC_000913.3	2544752	2545609	-	858	695	348	37
murQ	NC_000913.3	2545773	2546669	+	897	659	316	65
murP	NC_000913.3	2546673	2548097	+	1425	904	471	148
yfeW	NC_000913.3	2548102	2549406	+	1305	648	343	122
yfeX	NC_000913.3	2549646	2550545	-	900	1246	1393	711
yfeY	NC_000913.3	2550641	2551216	-	576	575	578	145
yfeZ	NC_000913.3	2551277	2551726	-	450	474	389	53
ypeA	NC_000913.3	2551713	2552138	-	426	440	490	57
amiA	NC_000913.3	2552352	2553221	+	870	690	592	692
hemF	NC_000913.3	2553225	2554124	+	900	673	473	397
eutR	NC_000913.3	2554130	2555182	-	1053	664	385	201
eutK	NC_000913.3	2555228	2555728	-	501	408	287	101
eutL	NC_000913.3	2555741	2556400	-	660	351	235	107
eutC	NC_000913.3	2556410	2557297	-	888	829	484	207
eutB	NC_000913.3	2557318	2558679	-	1362	1125	818	791
intZ	NC_000913.3	2558858	2560066	+	1209	1020	644	126
yffL	NC_000913.3	2560257	2560898	+	642	695	400	214
yffM	NC_000913.3	2561368	2561613	+	246	313	150	26
yffN	NC_000913.3	2561625	2561993	+	369	220	97	18
yffO	NC_000913.3	2562111	2562527	+	417	215	115	26
yffP	NC_000913.3	2562524	2563117	+	594	741	357	37
yffQ	NC_000913.3	2563592	2563969	+	378	341	219	33
yffR	NC_000913.3	2563980	2564372	+	393	468	289	105
yffS	NC_000913.3	2564523	2565332	+	810	955	628	69
eutA	NC_000913.3	2565481	2566884	-	1404	711	400	137
eutH	NC_000913.3	2566881	2568107	-	1227	1111	601	73
eutG	NC_000913.3	2568324	2569511	-	1188	821	466	89
eutJ	NC_000913.3	2569501	2570337	-	837	637	286	51
eutE	NC_000913.3	2570348	2571751	-	1404	860	473	116
eutN	NC_000913.3	2571763	2572050	-	288	209	107	10
eutM	NC_000913.3	2572157	2572450	-	294	254	181	15
eutD	NC_000913.3	2572489	2573505	-	1017	824	411	67
eutT	NC_000913.3	2573502	2574305	-	804	399	251	69
eutQ	NC_000913.3	2574302	2575003	-	702	505	271	22
eutP	NC_000913.3	2574978	2575457	-	480	256	147	15
eutS	NC_000913.3	2575470	2575805	-	336	148	76	7
maeB	NC_000913.3	2576098	2578377	-	2280	5589	6597	909
talA	NC_000913.3	2578666	2579616	+	951	5407	8259	2057
tktB	NC_000913.3	2579636	2581639	+	2004	9049	14476	3509
ypfG	NC_000913.3	2581734	2582777	-	1044	788	562	438
nudK	NC_000913.3	2582903	2583478	-	576	504	241	189
aegA	NC_000913.3	2583546	2585525	-	1980	1328	652	138
narQ	NC_000913.3	2585731	2587431	+	1701	1119	589	409
acrD	NC_000913.3	2587595	2590708	+	3114	1874	966	363
ypfM	NC_000913.3	2590807	2590866	-	60	642	637	11
yffB	NC_000913.3	2591247	2591603	+	357	682	489	55
dapE	NC_000913.3	2591607	2592734	+	1128	2001	1722	414
ypfN	NC_000913.3	2592762	2592962	+	201	1234	1217	361
ypfH	NC_000913.3	2593072	2593770	-	699	778	760	551
tmcA	NC_000913.3	2593844	2595859	-	2016	1707	1089	855
ypfJ	NC_000913.3	2595874	2596737	-	864	1707	2080	914
purC	NC_000913.3	2596905	2597618	-	714	645	401	791
bamC	NC_000913.3	2597831	2598865	-	1035	1424	1042	2277
dapA	NC_000913.3	2598882	2599760	-	879	1923	1397	2296
gcvR	NC_000913.3	2599906	2600478	+	573	892	800	469
bcp	NC_000913.3	2600478	2600948	+	471	750	399	295
hyfA	NC_000913.3	2601201	2601818	+	618	316	112	28
hyfB	NC_000913.3	2601818	2603836	+	2019	1307	690	113
hyfC	NC_000913.3	2603847	2604794	+	948	584	284	19
hyfD	NC_000913.3	2604811	2606250	+	1440	1074	535	99
hyfE	NC_000913.3	2606262	2606912	+	651	355	165	17
hyfF	NC_000913.3	2606917	2608497	+	1581	827	425	159
hyfG	NC_000913.3	2608487	2610154	+	1668	1111	535	149
hyfH	NC_000913.3	2610164	2610709	+	546	387	146	53
hyfI	NC_000913.3	2610706	2611464	+	759	485	228	66
hyfJ	NC_000913.3	2611457	2611870	+	414	315	160	23
hyfR	NC_000913.3	2611900	2613912	+	2013	1357	640	147
focB	NC_000913.3	2613934	2614782	+	849	763	440	155
yfgO	NC_000913.3	2614820	2615881	-	1062	1009	576	477
bepA	NC_000913.3	2616094	2617557	+	1464	2137	3368	646
yfgD	NC_000913.3	2617578	2617937	+	360	574	749	196
hda	NC_000913.3	2618075	2618776	-	702	526	304	344
uraA	NC_000913.3	2618871	2620160	-	1290	826	374	80
upp	NC_000913.3	2620246	2620872	-	627	402	234	75
purM	NC_000913.3	2621197	2622234	+	1038	763	420	137
purN	NC_000913.3	2622234	2622872	+	639	621	343	104
ppk	NC_000913.3	2623044	2625110	+	2067	2268	1447	1393
ppx	NC_000913.3	2625115	2626656	+	1542	1555	1098	774
pdeF	NC_000913.3	2626695	2628938	-	2244	1173	618	154
