Geneid	Chr	Start	End	Strand	Length
atoB	NC_000913.3	2326109	2327293	+	1185
yfaP	NC_000913.3	2327367	2328143	-	777
yfaQ	NC_000913.3	2328148	2329797	-	1650
yfaS	NC_000913.3	2329798	2334402	-	4605
yfaT	NC_000913.3	2334336	2334959	-	624
yfaA	NC_000913.3	2334956	2336644	-	1689
gyrA	NC_000913.3	2336793	2339420	-	2628
ubiG	NC_000913.3	2339567	2340289	+	723
yfaL	NC_000913.3	2340417	2344169	-	3753
ypaB	NC_000913.3	2344594	2344737	-	144
nrdA	NC_000913.3	2344865	2347150	+	2286
yoaM	NC_000913.3	2347350	2347385	-	36
nrdB	NC_000913.3	2347384	2348514	+	1131
yfaE	NC_000913.3	2348514	2348768	+	255
inaA	NC_000913.3	2348822	2349472	-	651
yfaH	NC_000913.3	2349687	2349893	+	207
glpQ	NC_000913.3	2349935	2351011	-	1077
glpT	NC_000913.3	2351016	2352374	-	1359
glpA	NC_000913.3	2352647	2354275	+	1629
glpB	NC_000913.3	2354265	2355524	+	1260
glpC	NC_000913.3	2355521	2356711	+	1191
rpnE	NC_000913.3	2356904	2357803	+	900
ypaA	NC_000913.3	2357816	2358001	+	186
yfaU	NC_000913.3	2358042	2358845	-	804
yfaV	NC_000913.3	2358863	2360152	-	1290
rhmD	NC_000913.3	2360209	2361414	-	1206
yfaX	NC_000913.3	2361429	2362211	-	783
yfaY	NC_000913.3	2362431	2363633	-	1203
yfaZ	NC_000913.3	2363733	2364275	-	543
nudI	NC_000913.3	2364554	2364979	+	426
ais	NC_000913.3	2365018	2365620	-	603
arnB	NC_000913.3	2365910	2367067	+	1158
arnC	NC_000913.3	2367071	2368039	+	969
arnA	NC_000913.3	2368039	2370021	+	1983
arnD	NC_000913.3	2370018	2370908	+	891
arnT	NC_000913.3	2370908	2372560	+	1653
arnE	NC_000913.3	2372557	2372892	+	336
arnF	NC_000913.3	2372892	2373278	+	387
pmrD	NC_000913.3	2373272	2373538	-	267
menE	NC_000913.3	2373648	2375003	-	1356
menC	NC_000913.3	2375000	2375962	-	963
menB	NC_000913.3	2375962	2376819	-	858
menH	NC_000913.3	2376834	2377592	-	759
menD	NC_000913.3	2377589	2379259	-	1671
menF	NC_000913.3	2379348	2380643	-	1296
elaB	NC_000913.3	2380722	2381027	-	306
elaA	NC_000913.3	2381082	2381543	-	462
rbn	NC_000913.3	2381608	2382525	+	918
elaD	NC_000913.3	2382713	2383924	+	1212
yfbK	NC_000913.3	2383995	2385722	-	1728
yfbL	NC_000913.3	2385860	2386831	+	972
yfbM	NC_000913.3	2386934	2387437	+	504
yfbN	NC_000913.3	2387710	2388426	-	717
yfbO	NC_000913.3	2388635	2389057	+	423
yfbP	NC_000913.3	2389116	2389964	+	849
nuoN	NC_000913.3	2390048	2391505	-	1458
nuoM	NC_000913.3	2391512	2393041	-	1530
nuoL	NC_000913.3	2393205	2395046	-	1842
nuoK	NC_000913.3	2395043	2395345	-	303
nuoJ	NC_000913.3	2395342	2395896	-	555
nuoI	NC_000913.3	2395908	2396450	-	543
nuoH	NC_000913.3	2396465	2397442	-	978
nuoG	NC_000913.3	2397439	2400165	-	2727
nuoF	NC_000913.3	2400218	2401555	-	1338
nuoE	NC_000913.3	2401552	2402052	-	501
nuoC	NC_000913.3	2402055	2403845	-	1791
nuoB	NC_000913.3	2403951	2404613	-	663
nuoA	NC_000913.3	2404629	2405072	-	444
lrhA	NC_000913.3	2405703	2406641	-	939
alaA	NC_000913.3	2407561	2408778	+	1218
yfbR	NC_000913.3	2408862	2409461	+	600
yfbS	NC_000913.3	2409520	2411352	-	1833
hxpA	NC_000913.3	2411439	2412089	-	651
yfbU	NC_000913.3	2412100	2412594	-	495
yfbV	NC_000913.3	2412677	2413132	-	456
ackA	NC_000913.3	2413470	2414672	+	1203
pta	NC_000913.3	2414747	2416891	+	2145
yfcC	NC_000913.3	2417081	2418601	+	1521
yfcD	NC_000913.3	2418634	2419176	-	543
yfcE	NC_000913.3	2419234	2419788	-	555
yfcF	NC_000913.3	2419841	2420485	-	645
yfcG	NC_000913.3	2420621	2421268	+	648
folX	NC_000913.3	2421325	2421687	+	363
yfcH	NC_000913.3	2421708	2422601	+	894
rpnB	NC_000913.3	2422649	2423539	-	891
hisP	NC_000913.3	2423736	2424509	-	774
hisM	NC_000913.3	2424517	2425233	-	717
hisQ	NC_000913.3	2425230	2425916	-	687
hisJ	NC_000913.3	2426006	2426788	-	783
argT	NC_000913.3	2427009	2427791	-	783
ubiX	NC_000913.3	2428057	2428626	-	570
purF	NC_000913.3	2428721	2430238	-	1518
cvpA	NC_000913.3	2430275	2430763	-	489
dedD	NC_000913.3	2431022	2431684	-	663
folC	NC_000913.3	2431674	2432942	-	1269
accD	NC_000913.3	2433012	2433926	-	915
dedA	NC_000913.3	2434082	2434741	-	660
truA	NC_000913.3	2434824	2435636	-	813
usg	NC_000913.3	2435636	2436649	-	1014
pdxB	NC_000913.3	2436715	2437851	-	1137
flk	NC_000913.3	2437950	2438945	+	996
yfcJ	NC_000913.3	2438942	2440120	-	1179
fabB	NC_000913.3	2440385	2441605	-	1221
mnmC	NC_000913.3	2441764	2443770	+	2007
yfcL	NC_000913.3	2443891	2444169	-	279
epmC	NC_000913.3	2444203	2444751	-	549
yfcA	NC_000913.3	2444751	2445560	-	810
mepA	NC_000913.3	2445560	2446384	-	825
aroC	NC_000913.3	2446388	2447473	-	1086
prmB	NC_000913.3	2447508	2448440	-	933
smrB	NC_000913.3	2448606	2449157	+	552
yfcO	NC_000913.3	2449228	2450049	-	822
yfcP	NC_000913.3	2450051	2450590	-	540
yfcQ	NC_000913.3	2450587	2451075	-	489
yfcR	NC_000913.3	2451072	2451584	-	513
yfcS	NC_000913.3	2451584	2452336	-	753
yfcU	NC_000913.3	2452356	2455001	-	2646
yfcV	NC_000913.3	2455083	2455646	-	564
sixA	NC_000913.3	2456327	2456812	-	486
fadJ	NC_000913.3	2457015	2459159	-	2145
fadI	NC_000913.3	2459159	2460469	-	1311
yfcZ	NC_000913.3	2460650	2460934	-	285
fadL	NC_000913.3	2461306	2462646	+	1341
yfdF	NC_000913.3	2463012	2464070	+	1059
mlaA	NC_000913.3	2464252	2465007	-	756
yfdC	NC_000913.3	2465301	2466233	+	933
argW	NC_000913.3	2466309	2466383	+	75
intS	NC_000913.3	2466545	2467702	+	1158
yfdG	NC_000913.3	2467855	2468217	+	363
yfdH	NC_000913.3	2468214	2469134	+	921
yfdI	NC_000913.3	2469131	2470462	+	1332
yodE	NC_000913.3	2470497	2470643	-	147
tfaS	NC_000913.3	2470803	2471105	+	303
yfdK	NC_000913.3	2471077	2471517	-	441
yfdL	NC_000913.3	2471544	2472062	-	519
yfdM	NC_000913.3	2472112	2472387	-	276
yfdN	NC_000913.3	2472387	2472881	-	495
yfdO	NC_000913.3	2472878	2473246	-	369
yfdP	NC_000913.3	2473604	2473966	+	363
yfdQ	NC_000913.3	2474032	2474856	+	825
yfdR	NC_000913.3	2474984	2475520	+	537
yfdS	NC_000913.3	2475511	2475873	+	363
yfdT	NC_000913.3	2475873	2476178	+	306
ypdJ	NC_000913.3	2476094	2476234	+	141
torI	NC_000913.3	2476310	2476510	+	201
pawZ	NC_000913.3	2476584	2476598	+	15
dsdC	NC_000913.3	2476694	2477629	-	936
dsdX	NC_000913.3	2477847	2479184	+	1338
dsdA	NC_000913.3	2479202	2480530	+	1329
emrY	NC_000913.3	2480638	2482176	-	1539
emrK	NC_000913.3	2482176	2483339	-	1164
evgL	NC_000913.3	2483729	2483758	+	30
evgA	NC_000913.3	2483755	2484369	+	615
evgS	NC_000913.3	2484374	2487967	+	3594
yfdE	NC_000913.3	2488023	2489168	-	1146
yfdV	NC_000913.3	2489242	2490186	-	945
oxc	NC_000913.3	2490256	2491950	-	1695
frc	NC_000913.3	2492004	2493254	-	1251
yfdX	NC_000913.3	2493767	2494402	-	636
ypdI	NC_000913.3	2494698	2494973	+	276
yfdY	NC_000913.3	2495050	2495292	-	243
lpxP	NC_000913.3	2495645	2496565	+	921
ypdK	NC_000913.3	2496921	2496992	+	72
alaC	NC_000913.3	2497057	2498295	-	1239
pyrS	NC_000913.3	2498671	2500368	+	1698
pyrR	NC_000913.3	2500383	2501117	+	735
ypdC	NC_000913.3	2501130	2501987	+	858
fryA	NC_000913.3	2501990	2504485	-	2496
ypdE	NC_000913.3	2504510	2505547	-	1038
ypdF	NC_000913.3	2505547	2506632	-	1086
fryC	NC_000913.3	2506647	2507894	-	1248
fryB	NC_000913.3	2507916	2508242	-	327
glk	NC_000913.3	2508461	2509426	-	966
yfeO	NC_000913.3	2509630	2510886	+	1257
ypeC	NC_000913.3	2511001	2511327	+	327
mntH	NC_000913.3	2511468	2512706	-	1239
ypeD	NC_000913.3	2512687	2512776	-	90
nupC	NC_000913.3	2513042	2514244	+	1203
insL3	NC_000913.3	2514331	2515443	+	1113
pdeA	NC_000913.3	2515643	2517832	-	2190
alaX	NC_000913.3	2518041	2518116	-	76
alaW	NC_000913.3	2518156	2518231	-	76
yfeC	NC_000913.3	2518467	2518811	+	345
yfeD	NC_000913.3	2518813	2519205	+	393
gltX	NC_000913.3	2519257	2520672	-	1416
valU	NC_000913.3	2520931	2521006	+	76
valX	NC_000913.3	2521051	2521126	+	76
valY	NC_000913.3	2521173	2521248	+	76
lysV	NC_000913.3	2521253	2521328	+	76
xapR	NC_000913.3	2521593	2522477	-	885
xapB	NC_000913.3	2522729	2523985	-	1257
xapA	NC_000913.3	2524045	2524878	-	834
yfeN	NC_000913.3	2525127	2525891	+	765
yfeR	NC_000913.3	2525930	2526856	-	927
yfeH	NC_000913.3	2526946	2527944	+	999
ypeB	NC_000913.3	2527941	2528159	-	219
ligA	NC_000913.3	2528161	2530176	-	2016
zipA	NC_000913.3	2530247	2531233	-	987
cysZ	NC_000913.3	2531463	2532224	+	762
cysK	NC_000913.3	2532409	2533380	+	972
ptsH	NC_000913.3	2533764	2534021	+	258
ptsI	NC_000913.3	2534066	2535793	+	1728
crr	NC_000913.3	2535834	2536343	+	510
pdxK	NC_000913.3	2536386	2537237	-	852
yfeK	NC_000913.3	2537342	2537716	+	375
yfeS	NC_000913.3	2537749	2538483	+	735
cysM	NC_000913.3	2538672	2539583	-	912
cysA	NC_000913.3	2539717	2540814	-	1098
cysW	NC_000913.3	2540804	2541679	-	876
cysU	NC_000913.3	2541679	2542512	-	834
cysP	NC_000913.3	2542512	2543528	-	1017
ucpA	NC_000913.3	2543832	2544623	-	792
murR	NC_000913.3	2544752	2545609	-	858
murQ	NC_000913.3	2545773	2546669	+	897
murP	NC_000913.3	2546673	2548097	+	1425
yfeW	NC_000913.3	2548102	2549406	+	1305
yfeX	NC_000913.3	2549646	2550545	-	900
yfeY	NC_000913.3	2550641	2551216	-	576
yfeZ	NC_000913.3	2551277	2551726	-	450
ypeA	NC_000913.3	2551713	2552138	-	426
amiA	NC_000913.3	2552352	2553221	+	870
hemF	NC_000913.3	2553225	2554124	+	900
eutR	NC_000913.3	2554130	2555182	-	1053
eutK	NC_000913.3	2555228	2555728	-	501
eutL	NC_000913.3	2555741	2556400	-	660
eutC	NC_000913.3	2556410	2557297	-	888
eutB	NC_000913.3	2557318	2558679	-	1362
intZ	NC_000913.3	2558858	2560066	+	1209
yffL	NC_000913.3	2560257	2560898	+	642
yffM	NC_000913.3	2561368	2561613	+	246
yffN	NC_000913.3	2561625	2561993	+	369
yffO	NC_000913.3	2562111	2562527	+	417
yffP	NC_000913.3	2562524	2563117	+	594
yffQ	NC_000913.3	2563592	2563969	+	378
yffR	NC_000913.3	2563980	2564372	+	393
yffS	NC_000913.3	2564523	2565332	+	810
eutA	NC_000913.3	2565481	2566884	-	1404
eutH	NC_000913.3	2566881	2568107	-	1227
eutG	NC_000913.3	2568324	2569511	-	1188
eutJ	NC_000913.3	2569501	2570337	-	837
eutE	NC_000913.3	2570348	2571751	-	1404
eutN	NC_000913.3	2571763	2572050	-	288
eutM	NC_000913.3	2572157	2572450	-	294
eutD	NC_000913.3	2572489	2573505	-	1017
eutT	NC_000913.3	2573502	2574305	-	804
eutQ	NC_000913.3	2574302	2575003	-	702
eutP	NC_000913.3	2574978	2575457	-	480
eutS	NC_000913.3	2575470	2575805	-	336
maeB	NC_000913.3	2576098	2578377	-	2280
talA	NC_000913.3	2578666	2579616	+	951
tktB	NC_000913.3	2579636	2581639	+	2004
ypfG	NC_000913.3	2581734	2582777	-	1044
nudK	NC_000913.3	2582903	2583478	-	576
aegA	NC_000913.3	2583546	2585525	-	1980
narQ	NC_000913.3	2585731	2587431	+	1701
acrD	NC_000913.3	2587595	2590708	+	3114
ypfM	NC_000913.3	2590807	2590866	-	60
yffB	NC_000913.3	2591247	2591603	+	357
dapE	NC_000913.3	2591607	2592734	+	1128
ypfN	NC_000913.3	2592762	2592962	+	201
ypfH	NC_000913.3	2593072	2593770	-	699
tmcA	NC_000913.3	2593844	2595859	-	2016
ypfJ	NC_000913.3	2595874	2596737	-	864
purC	NC_000913.3	2596905	2597618	-	714
bamC	NC_000913.3	2597831	2598865	-	1035
dapA	NC_000913.3	2598882	2599760	-	879
gcvR	NC_000913.3	2599906	2600478	+	573
bcp	NC_000913.3	2600478	2600948	+	471
hyfA	NC_000913.3	2601201	2601818	+	618
hyfB	NC_000913.3	2601818	2603836	+	2019
hyfC	NC_000913.3	2603847	2604794	+	948
hyfD	NC_000913.3	2604811	2606250	+	1440
hyfE	NC_000913.3	2606262	2606912	+	651
hyfF	NC_000913.3	2606917	2608497	+	1581
hyfG	NC_000913.3	2608487	2610154	+	1668
hyfH	NC_000913.3	2610164	2610709	+	546
hyfI	NC_000913.3	2610706	2611464	+	759
hyfJ	NC_000913.3	2611457	2611870	+	414
hyfR	NC_000913.3	2611900	2613912	+	2013
focB	NC_000913.3	2613934	2614782	+	849
yfgO	NC_000913.3	2614820	2615881	-	1062
bepA	NC_000913.3	2616094	2617557	+	1464
yfgD	NC_000913.3	2617578	2617937	+	360
hda	NC_000913.3	2618075	2618776	-	702
uraA	NC_000913.3	2618871	2620160	-	1290
upp	NC_000913.3	2620246	2620872	-	627
purM	NC_000913.3	2621197	2622234	+	1038
purN	NC_000913.3	2622234	2622872	+	639
ppk	NC_000913.3	2623044	2625110	+	2067
ppx	NC_000913.3	2625115	2626656	+	1542
pdeF	NC_000913.3	2626695	2628938	-	2244
yfgG	NC_000913.3	2629290	2629481	+	192
yfgH	NC_000913.3	2629792	2630310	+	519
yfgI	NC_000913.3	2630326	2630865	+	540
guaA	NC_000913.3	2630958	2632535	-	1578
guaB	NC_000913.3	2632604	2634070	-	1467
xseA	NC_000913.3	2634232	2635602	+	1371
yfgJ	NC_000913.3	2635599	2635814	-	216
der	NC_000913.3	2635884	2637356	-	1473
bamB	NC_000913.3	2637474	2638652	-	1179
yfgM	NC_000913.3	2638663	2639283	-	621
hisS	NC_000913.3	2639301	2640575	-	1275
sroE	NC_000913.3	2640595	2640686	-	92
ispG	NC_000913.3	2640686	2641804	-	1119
rodZ	NC_000913.3	2641831	2642844	-	1014
rlmN	NC_000913.3	2643129	2644283	-	1155
ndk	NC_000913.3	2644433	2644864	-	432
pbpC	NC_000913.3	2645013	2647325	-	2313
yfhM	NC_000913.3	2647326	2652287	-	4962
sseA	NC_000913.3	2652494	2653339	+	846
timR	NC_000913.3	2653356	2653455	-	100
ryfA	NC_000913.3	2653855	2654158	+	304
timP	NC_000913.3	2654001	2654126	+	126
sseB	NC_000913.3	2654157	2654933	-	777
pepB	NC_000913.3	2655075	2656358	-	1284
iscX	NC_000913.3	2656536	2656736	-	201
fdx	NC_000913.3	2656748	2657083	-	336
hscA	NC_000913.3	2657085	2658935	-	1851
hscB	NC_000913.3	2658952	2659467	-	516
iscA	NC_000913.3	2659563	2659886	-	324
iscU	NC_000913.3	2659903	2660289	-	387
iscS	NC_000913.3	2660317	2661531	-	1215
iscR	NC_000913.3	2661643	2662131	-	489
trmJ	NC_000913.3	2662583	2663323	-	741
suhB	NC_000913.3	2663442	2664245	+	804
yfhR	NC_000913.3	2664390	2665244	+	855
csiE	NC_000913.3	2665435	2666715	+	1281
hcaT	NC_000913.3	2666707	2667846	-	1140
hcaR	NC_000913.3	2668006	2668896	-	891
iroK	NC_000913.3	2668006	2668071	-	66
hcaE	NC_000913.3	2669032	2670393	+	1362
hcaF	NC_000913.3	2670390	2670908	+	519
hcaC	NC_000913.3	2670908	2671228	+	321
hcaB	NC_000913.3	2671225	2672037	+	813
hcaD	NC_000913.3	2672047	2673249	+	1203
yphA	NC_000913.3	2673346	2673768	+	423
yphB	NC_000913.3	2673816	2674688	-	873
yphC	NC_000913.3	2674700	2675761	-	1062
yphD	NC_000913.3	2675827	2676825	-	999
yphE	NC_000913.3	2676850	2678361	-	1512
yphF	NC_000913.3	2678384	2679367	-	984
yphG	NC_000913.3	2679464	2682745	-	3282
yphH	NC_000913.3	2682863	2684056	+	1194
glyA	NC_000913.3	2684254	2685507	-	1254
hmp	NC_000913.3	2685835	2687025	+	1191
glnB	NC_000913.3	2687070	2687408	-	339
glrR	NC_000913.3	2687469	2688803	-	1335
qseG	NC_000913.3	2688793	2689506	-	714
glrK	NC_000913.3	2689671	2691098	-	1428
glmY	NC_000913.3	2691157	2691340	-	184
purL	NC_000913.3	2691656	2695543	-	3888
mltF	NC_000913.3	2695801	2697357	+	1557
tadA	NC_000913.3	2697354	2697857	-	504
pgpC	NC_000913.3	2697915	2698550	-	636
yfhH	NC_000913.3	2698759	2699607	+	849
yfhL	NC_000913.3	2699663	2699923	+	261
shoB	NC_000913.3	2700117	2700197	-	81
ohsC	NC_000913.3	2700520	2700598	+	79
acpS	NC_000913.3	2700618	2700998	-	381
pdxJ	NC_000913.3	2700998	2701729	-	732
recO	NC_000913.3	2701741	2702469	-	729
era	NC_000913.3	2702481	2703386	-	906
rnc	NC_000913.3	2703383	2704063	-	681
lepB	NC_000913.3	2704335	2705309	-	975
lepA	NC_000913.3	2705325	2707124	-	1800
rseC	NC_000913.3	2707322	2707801	-	480
rseB	NC_000913.3	2707798	2708754	-	957
rseA	NC_000913.3	2708754	2709404	-	651
rpoE	NC_000913.3	2709437	2710012	-	576
rseD	NC_000913.3	2710009	2710164	-	156
nadB	NC_000913.3	2710420	2712042	+	1623
yfiC	NC_000913.3	2712027	2712764	-	738
srmB	NC_000913.3	2712896	2714230	+	1335
yfiE	NC_000913.3	2714439	2715320	-	882
eamB	NC_000913.3	2715423	2716010	+	588
grcA	NC_000913.3	2716066	2716449	-	384
ung	NC_000913.3	2716754	2717443	+	690
yfiF	NC_000913.3	2717491	2718528	-	1038
trxC	NC_000913.3	2718735	2719154	+	420
tapT	NC_000913.3	2719223	2719921	+	699
patZ	NC_000913.3	2719953	2722613	+	2661
pssL	NC_000913.3	2722702	2722743	+	42
pssA	NC_000913.3	2722727	2724082	+	1356
yfiM	NC_000913.3	2724128	2724451	+	324
kgtP	NC_000913.3	2724448	2725746	-	1299
yfiS	NC_000913.3	2725925	2725987	+	63
rrfG	NC_000913.3	2726069	2726188	-	120
rrlG	NC_000913.3	2726281	2729184	-	2904
gltW	NC_000913.3	2729369	2729444	-	76
rrsG	NC_000913.3	2729616	2731157	-	1542
clpB	NC_000913.3	2731600	2734173	-	2574
ryfD	NC_000913.3	2734153	2734295	-	143
yfiH	NC_000913.3	2734303	2735034	-	732
rluD	NC_000913.3	2735031	2736011	-	981
bamD	NC_000913.3	2736146	2736883	+	738
raiA	NC_000913.3	2737154	2737495	+	342
raiZ	NC_000913.3	2737381	2737542	+	162
pheL	NC_000913.3	2737599	2737646	+	48
pheA	NC_000913.3	2737745	2738905	+	1161
tyrA	NC_000913.3	2738948	2740069	-	1122
aroF	NC_000913.3	2740080	2741150	-	1071
yfiL	NC_000913.3	2741360	2741725	+	366
yfiR	NC_000913.3	2741875	2742393	+	519
dgcN	NC_000913.3	2742383	2743609	+	1227
yfiB	NC_000913.3	2743625	2744107	+	483
rplS	NC_000913.3	2744183	2744530	-	348
trmD	NC_000913.3	2744572	2745339	-	768
rimM	NC_000913.3	2745370	2745918	-	549
rpsP	NC_000913.3	2745937	2746185	-	249
ffh	NC_000913.3	2746434	2747795	-	1362
ypjD	NC_000913.3	2747962	2748753	+	792
yfjD	NC_000913.3	2748774	2750060	+	1287
grpE	NC_000913.3	2750115	2750708	-	594
nadK	NC_000913.3	2750831	2751709	+	879
recN	NC_000913.3	2751795	2753456	+	1662
bamE	NC_000913.3	2753605	2753946	+	342
yfjF	NC_000913.3	2754008	2754298	-	291
ratA	NC_000913.3	2754288	2754764	-	477
smpB	NC_000913.3	2754896	2755378	+	483
ssrA	NC_000913.3	2755593	2755955	+	363
intA	NC_000913.3	2756159	2757400	+	1242
yfjH	NC_000913.3	2757644	2758600	-	957
alpA	NC_000913.3	2758644	2758856	+	213
yfjI	NC_000913.3	2758985	2760394	+	1410
yfjJ	NC_000913.3	2760547	2761173	+	627
abpB	NC_000913.3	2761351	2763540	-	2190
abpA	NC_000913.3	2763537	2765153	-	1617
yfjM	NC_000913.3	2765513	2765776	-	264
rnlA	NC_000913.3	2765918	2766991	+	1074
rnlB	NC_000913.3	2766984	2767355	+	372
yfjP	NC_000913.3	2767710	2768573	+	864
yfjQ	NC_000913.3	2768665	2769486	+	822
yfjR	NC_000913.3	2769703	2770404	+	702
ypjK	NC_000913.3	2770445	2770681	+	237
yfjS	NC_000913.3	2770681	2771124	+	444
yfjT	NC_000913.3	2771148	2771615	+	468
yfjU	NC_000913.3	2771840	2772154	-	315
yfjV	NC_000913.3	2772167	2773182	-	1016
yfjW	NC_000913.3	2773318	2775021	+	1704
ypjI	NC_000913.3	2775545	2775816	+	272
yfjX	NC_000913.3	2775919	2776377	+	459
yfjY	NC_000913.3	2776386	2776868	+	483
ypjJ	NC_000913.3	2776877	2777077	+	201
yfjZ	NC_000913.3	2777115	2777432	+	318
ypjF	NC_000913.3	2777453	2777782	+	330
psaA	NC_000913.3	2777972	2777985	+	14
ypjA	NC_000913.3	2778146	2782726	-	4581
pinH	NC_000913.3	2783065	2783304	-	240
ypjB	NC_000913.3	2783638	2784429	-	792
ypjC	NC_000913.3	2784529	2785011	-	483
ileY	NC_000913.3	2785762	2785837	-	76
ygaQ	NC_000913.3	2786397	2788649	+	2253
glaH	NC_000913.3	2788985	2789962	+	978
lhgD	NC_000913.3	2789982	2791250	+	1269
gabD	NC_000913.3	2791273	2792721	+	1449
gabT	NC_000913.3	2792735	2794015	+	1281
gabP	NC_000913.3	2794253	2795653	+	1401
glaR	NC_000913.3	2795674	2796336	+	663
kbp	NC_000913.3	2796337	2796786	-	450
yqaE	NC_000913.3	2796870	2797028	-	159
ygaV	NC_000913.3	2797211	2797510	+	300
ygaP	NC_000913.3	2797520	2798044	+	525
stpA	NC_000913.3	2798091	2798495	-	405
alaE	NC_000913.3	2799164	2799613	+	450
ygaC	NC_000913.3	2799650	2799994	-	345
ygaM	NC_000913.3	2800146	2800475	+	330
nrdH	NC_000913.3	2800723	2800968	+	246
nrdI	NC_000913.3	2800965	2801375	+	411
nrdE	NC_000913.3	2801348	2803492	+	2145
nrdF	NC_000913.3	2803502	2804461	+	960
proV	NC_000913.3	2804815	2806017	+	1203
proW	NC_000913.3	2806010	2807074	+	1065
proX	NC_000913.3	2807132	2808124	+	993
ygaY	NC_000913.3	2808316	2809493	+	1178
ygaZ	NC_000913.3	2809617	2810354	+	738
ygaH	NC_000913.3	2810344	2810679	+	336
mprA	NC_000913.3	2810770	2811300	+	531
emrA	NC_000913.3	2811427	2812599	+	1173
emrB	NC_000913.3	2812616	2814154	+	1539
luxS	NC_000913.3	2814218	2814733	-	516
micA	NC_000913.3	2814802	2814874	+	73
gshA	NC_000913.3	2814883	2816439	-	1557
yqaA	NC_000913.3	2816512	2816940	-	429
yqaB	NC_000913.3	2816937	2817503	-	567
argQ	NC_000913.3	2817784	2817860	-	77
argZ	NC_000913.3	2818059	2818135	-	77
argY	NC_000913.3	2818198	2818274	-	77
argV	NC_000913.3	2818473	2818549	-	77
serV	NC_000913.3	2818553	2818645	-	93
csrA	NC_000913.3	2818961	2819146	-	186
alaS	NC_000913.3	2819381	2822011	-	2631
recX	NC_000913.3	2822139	2822639	-	501
recA	NC_000913.3	2822708	2823769	-	1062
pncC	NC_000913.3	2823849	2824346	-	498
mltB	NC_000913.3	2824491	2825576	-	1086
srlA	NC_000913.3	2825832	2826395	+	564
srlE	NC_000913.3	2826392	2827351	+	960
srlB	NC_000913.3	2827362	2827733	+	372
srlD	NC_000913.3	2827737	2828516	+	780
gutM	NC_000913.3	2828621	2828980	+	360
srlR	NC_000913.3	2829047	2829820	+	774
gutQ	NC_000913.3	2829813	2830778	+	966
norR	NC_000913.3	2830775	2832289	-	1515
norV	NC_000913.3	2832476	2833915	+	1440
norW	NC_000913.3	2833912	2835045	+	1134
hypF	NC_000913.3	2835173	2837425	-	2253
hydN	NC_000913.3	2837578	2838105	-	528
ascG	NC_000913.3	2838254	2839264	-	1011
ascF	NC_000913.3	2839524	2840981	+	1458
ascB	NC_000913.3	2840990	2842414	+	1425
hycI	NC_000913.3	2842573	2843043	-	471
hycH	NC_000913.3	2843036	2843446	-	411
hycG	NC_000913.3	2843443	2844210	-	768
hycF	NC_000913.3	2844210	2844752	-	543
hycE	NC_000913.3	2844762	2846471	-	1710
hycD	NC_000913.3	2846489	2847412	-	924
hycC	NC_000913.3	2847415	2849241	-	1827
hycB	NC_000913.3	2849238	2849849	-	612
hycA	NC_000913.3	2849974	2850435	-	462
hypA	NC_000913.3	2850647	2850997	+	351
hypB	NC_000913.3	2851001	2851873	+	873
hypC	NC_000913.3	2851864	2852136	+	273
hypD	NC_000913.3	2852136	2853257	+	1122
hypE	NC_000913.3	2853254	2854264	+	1011
fhlA	NC_000913.3	2854338	2856416	+	2079
ygbA	NC_000913.3	2856453	2856806	-	354
mutS	NC_000913.3	2857093	2859654	+	2562
pphB	NC_000913.3	2859760	2860416	+	657
ygbI	NC_000913.3	2860467	2861234	-	768
ygbJ	NC_000913.3	2861430	2862338	+	909
ygbK	NC_000913.3	2862335	2863501	+	1167
ygbL	NC_000913.3	2863593	2864231	+	639
ygbM	NC_000913.3	2864236	2865012	+	777
ygbN	NC_000913.3	2865101	2866465	+	1365
rpoS	NC_000913.3	2866559	2867551	-	993
nlpD	NC_000913.3	2867614	2868753	-	1140
pcm	NC_000913.3	2868893	2869519	-	627
umpG	NC_000913.3	2869513	2870274	-	762
truD	NC_000913.3	2870255	2871304	-	1050
ispF	NC_000913.3	2871301	2871780	-	480
ispD	NC_000913.3	2871780	2872490	-	711
ftsB	NC_000913.3	2872509	2872820	-	312
ygbE	NC_000913.3	2873014	2873337	-	324
cysC	NC_000913.3	2873387	2873992	-	606
cysN	NC_000913.3	2873992	2875419	-	1428
cysD	NC_000913.3	2875421	2876329	-	909
iap	NC_000913.3	2876581	2877618	+	1038
cas2	NC_000913.3	2878569	2878853	-	285
cas1	NC_000913.3	2878855	2879772	-	918
casE	NC_000913.3	2879788	2880387	-	600
casD	NC_000913.3	2880374	2881048	-	675
casC	NC_000913.3	2881051	2882142	-	1092
casB	NC_000913.3	2882155	2882637	-	483
casA	NC_000913.3	2882630	2884138	-	1509
cas3	NC_000913.3	2884553	2887219	-	2667
sokX	NC_000913.3	2887353	2887411	+	59
cysH	NC_000913.3	2887578	2888312	-	735
cysI	NC_000913.3	2888387	2890099	-	1713
cysJ	NC_000913.3	2890099	2891898	-	1800
queD	NC_000913.3	2892214	2892579	+	366
ygcN	NC_000913.3	2892657	2893928	+	1272
ygcO	NC_000913.3	2893919	2894179	+	261
ygcP	NC_000913.3	2894196	2894771	+	576
ygcQ	NC_000913.3	2894919	2895779	-	861
ygcR	NC_000913.3	2895776	2896555	-	780
